platform,source,target,relation,content_url,content_text_cleaned,timestamp,scraped_at,primary_location,secondary_location,sentiment,sentiment_confidence,emotion,emotion_confidence,province
tiktok,nmtreal96,mancing,mentions_sport/hobby,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,MenenangkanHati,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,AlamIndonesia,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,HealingDenganAlam,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,HujanDanAlam,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,DamaiDiPedesaan,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,KetenanganAlam,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,mancing,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,SuasanaHujan,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
tiktok,nmtreal96,SuaraHujan,uses_hashtag,https://www.tiktok.com/@nmtreal96/video/7528597235727142151,hujanturun suarahujan suasanahujan ketenanganalam nuansadesa damaidipedesaan hujandanalam healingdenganalam menenangkanhati alamindonesia mancing,2025-07-19T01:22:29+00:00,2025-09-19 04:29:32.854629+00:00,Puncak bogor,"Ciloto, Cipanas, Cianjur Regency, West Java, Indonesia",Positive,0.977,Happy,0.8929,Jawa Barat
