platform,username,display_name,content_text_cleaned,content_url,timestamp,scraped_at,likes_count,views_count,shares_count,comments_count,replies_count,retweets_count,hashtags,mentions,keyword_used,primary_location,secondary_location,video_id,video_duration,music_title,sentiment,sentiment_confidence,emotion,emotion_confidence,province,PER,ORG,PET,SPORT_HOBBY,INFLUENCER
tiktok,antara_tv,@antara_tv,kpk terus awas salur stimulus nila rp triliun dana perintah lima bank anggota himpun bank milik negara himbara konferensi pers gedung merah putih kpk jakarta kamis laksana tugas deputi tindak eksekusi kpk asep guntur rahayu kata dana sebut gerak ekonomi nasional simak berita kini program program tarik tv youtube tv indonesia antaranews com video kpk stimulus danapemerintah himbara bankbumn perekonomiannasional antaratv,https://www.tiktok.com/@antara_tv/video/7551629740315086091,2025-09-19T03:00:21+00:00,2025-09-19T04:18:15.919916+00:00,32,659,0,1,0,0,"['#kpk', '#stimulus', '#danapemerintah', '#himbara', '#bankbumn', '#perekonomiannasional', '#antaratv']",[],#pemerintah,,,7.551629740315086e+18,62.0,original sound - Antara TV Indonesia,Neutral,0.9675,Stress,0.9918,unknown,"[""Asep Guntur Rahayu""]","[""Himbara Bankbumn"", ""Himpun Bank"", ""Youtube Tv Indonesia""]",,,
tiktok,aziswelcome,@aziswelcome,paksa sehat negara indonesia dpr dprd rakyat keadilanuntuksemua,https://www.tiktok.com/@aziswelcome/video/7540505850285133062,2025-08-20T03:33:56+00:00,2025-09-19T04:19:32.582608+00:00,41100,907300,2974,1563,0,0,"['#indonesia', '#dpr', '#dprd', '#rakyat', '#keadilanuntuksemua']",[],#indonesia,,,7.540505850285133e+18,20.0,suara asli - rakyat,Negative,0.6582,Stress,0.9753,unknown,,"[""DPR Ri""]",,,
tiktok,bhellaa69,@bhellaa69,main kebun pepaya pakai seragam vibes nya beda banget pelajarindonesia schoollife fyp viral l ootdsekolah,https://www.tiktok.com/@bhellaa69/video/7536810022865587463,2025-08-10T04:32:14+00:00,2025-09-19T04:19:46.671340+00:00,3205,238500,117,173,0,0,"['#pelajarindonesia', '#schoollife', '#fyp', '#viral', '#ootdsekolah']",[],#indonesia,,,7.536810022865587e+18,10.0,suara asli - sara🇹🇱,Neutral,0.4417,Happy,0.909,unknown,,"[""Indonesia Schoollife""]",,,
tiktok,eksistulungagung,@eksistulungagung,keluh warga desa junjung soal kondisi jalan raya rusak kerap timbul celaka akhir dapat respon cepat selang hari berita selasa tepat rabu pagi jumlah titik jalan lubang mulai laku tambal baik laku cara tutup lubang guna material aspal dingin warga aku lega meski harap baik permanen jalan benar benar aman lalu alhamdulillah tangan meski baru tambal harap nanti aspal ulang biar lebih kuat ujar salah satu warga tempat tangan ini warga harap angka celaka akibat jalan lubang jalur sebut tekan sekaligus jadi perhati perintah daerah baik infrastruktur seluruh eksistulungagung tulungagung,https://www.tiktok.com/@eksistulungagung/video/7551635593340439819,2025-09-19T03:23:02+00:00,2025-09-19T04:28:10.208922+00:00,14,1849,1,1,0,0,"['#EksisTulungagung', '#Tulungagung']",['@rethaamarethaa'],#pemerintah,,,7.55163559334044e+18,7.0,suara asli - EksisTulungagung,Negative,0.5847,Grateful,0.9077,unknown,,,,,
tiktok,naimaalkatiri,@naimaalkatiri,rezimjokowirezimsontoloyorezimgagaltotal rakyatindonesiajokowiprabowopolitiktiktok warga wargatiktok warningnewspoliticspolitikwargatiktokfyp,https://www.tiktok.com/@naimaalkatiri/video/7435810597796662546,2024-11-11T00:23:01+00:00,2025-09-19T04:28:51.070864+00:00,8133,453700,1789,2156,0,0,"['#rezimjokowi', '#rezimsontoloyo', '#rezimgagaltotal', '#rakyat', '#indonesia', '#jokowi', '#prabowo', '#politiktiktok', '#warga62', '#wargatiktok', '#warning', '#news', '#politics', '#politik', '#wargatiktok', '#fyp']",[],#politik,WARGA +62,"Jl. Moch. Kahfi II Gang Al Ikhlas No.17, Cipedak, Jagakarsa, South Jakarta City, Jakarta 12630, Indonesia",7.435810597796662e+18,42.0,suara asli - NaimaZulaikhaAlkatiri,Neutral,0.7453,Stress,0.8675,DKI Jakarta,,"[""Tok Warningpoliticspolitikwargaf""]",,,
tiktok,bintangbumiindonesiabbi,@bintangbumiindonesiabbi,makhluk ini spesies baru bintangbumiindonesia creatorsearchinsights longvideos kontenhiburan makhlukaneh spesies mutan alien aliens fyp fyp fypage fyp viral tiktok fypdong foryou lewatberanda lewatberandafyp xyzabc,https://www.tiktok.com/@bintangbumiindonesiabbi/video/7481834586347965702,2025-03-15T00:59:27+00:00,2025-09-19T04:29:31.845351+00:00,1035,176400,171,140,0,0,"['#bintangbumiindonesia', '#creatorsearchinsights', '#longvideos', '#kontenhiburan', '#makhlukaneh', '#spesies', '#mutan', '#alien', '#aliens', '#fyp', '#fypシ', '#fypage', '#fypシ', '#fypdong', '#foryou', '#lewatberanda', '#lewatberandafyp', '#xyzabc']",[],#indonesia,,,7.481834586347965e+18,19.0,Creepy and simple horror background music(1070744),Neutral,0.8475,Stress,0.9815,unknown,,,,,
tiktok,pecahan_waktu,@pecahan_waktu,,https://www.tiktok.com/@pecahan_waktu/video/7511036693772832056,2025-06-01T17:38:39+00:00,2025-09-19T04:29:26.825785+00:00,53500,1700000,2814,1863,0,0,[],[],#indonesia,Indonesia,Asia,7.511036693772832e+18,30.0,suara asli - Y A N E,unknown,0.0,unknown,0.0,unknown,,,,,
tiktok,officialinews,@officialinews,presiden prabowo subianto resmi lantik letnan jenderal purn djamari chaniago menteri koordinator bidang politik aman menko polkam istana negara jakarta rabu lantik djamari laku isi kosong kursi menko polkam belum tinggal budi gunawan sejak kosong sebut posisi menko polkam jalan ad interim menteri tahan sjafrie sjamsoeddin upacara lantik langsung khidmat hadir menteri kabinet merah putih pimpin lembaga tinggi negara jabat tni polri prosesi awal baca putus presiden republik indonesia kemudian lanjut ucap sumpah jabat djamari chaniago baca lengkap sini djamarichaniago menkopolkam lantik budigunawan reshufflekabinet kabinet,https://www.tiktok.com/@officialinews/video/7551006399296245010,2025-09-17T10:41:27+00:00,2025-09-19T04:28:43.011053+00:00,38800,1000000,606,1299,0,0,"['#DjamariChaniago', '#MenkoPolkam', '#Pelantikan', '#BudiGunawan', '#ReshuffleKabinet', '#Kabinet']",[],#politik,,,7.551006399296245e+18,86.0,original sound - OfficialiNews,Neutral,0.9685,Stress,0.9826,unknown,"[""Budi Gunawan"", ""Djamari Chaniago"", ""Letnan Jenderal Purn Djamari Chaniago"", ""Prabowo Subianto"", ""Sjafrie Sjamsoeddin""]","[""POLRI""]",,,"[""Prabowo Subianto""]"
tiktok,bernardbass2,@bernardbass2,najwashihab politik politikkejam hukumindonesia dpr,https://www.tiktok.com/@bernardbass2/video/7547384562163125522,2025-09-07T16:26:50+00:00,2025-09-19T04:28:44.014012+00:00,127,897,1,0,0,0,"['#najwashihab', '#politik', '#politikkejam', '#hukumindonesia', '#dpr']",[],#politik,,,7.547384562163125e+18,53.0,suara asli - bernardbass,Neutral,0.9348,Stress,0.9858,unknown,,"[""DPR Ri""]",,,
tiktok,merdekacom,@merdekacom,presiden ri susilo bambang yudhoyono sby sampai prihatin kondisi dunia nyata aku kurang suka arah ubah global jadi belakang ini merdekadotcom sby susilobambangyudhoyono prihatin kondisi dunia geopolitik ubah global krisisglobal ekonomi politik beritaviral fyp,https://www.tiktok.com/@merdekacom/video/7503876639193828626,2025-05-13T10:33:51+00:00,2025-09-19T04:47:57.524509+00:00,6443,751600,216,433,0,0,"['#merdekadotcom', '#sby', '#susilobambangyudhoyono', '#keprihatinan', '#kondisi', '#dunia', '#geopolitik', '#perubahan', '#global', '#krisisglobal', '#ekonomi', '#politik', '#beritaviral', '#fyp']",[],#politik,,,7.503876639193827e+18,80.0,original sound - merdekacom,Neutral,0.9399,Stress,0.9922,unknown,"[""Susilo Bambang Yudhoyono"", ""Susilo Bambang Yudhoyono Sby""]",,,,"[""SBY"", ""Susilo Bambang Yudhoyono""]"
