platform,author,author_username,content_text,post_url,timestamp,likes,shares,comments,views,hashtags,mentions,scraped_at,content_original,emotion,sentiment
twitter,Nakula,@03__nakula,statement bu mega agar kader² pdi mendukung pemerintahan prabowo gibran sudah sering beliau sampaikan bahkan sejak dilantik jadi presiden wakil namun dukungan tersebut bukan berarti harus gabung koalisi pemerintah partner,https://x.com/03__nakula/status/1951217059007963359,2025-08-01 09:42:53,0,0,0,0,[],[],2025-08-26 13:38:52,"Statement Bu Mega agar kader² PDI-P mendukung pemerintahan Prabowo - Gibran sudah sering beliau sampaikan, bahkan sejak Prabowo - Gibran dilantik jadi Presiden dan wakil presiden.
Namun dukungan tersebut bukan berarti PDI-P harus gabung koalisi pemerintah. PDI-P jadi partner di",Senang,Positif
twitter,Nakula,@03__nakula,presiden prabowo melalui mensesneg menyatakan siap backup kejaksaan agung tangkap riza chalid bongkar mafia migas kita tunggu keberanian aktif perpolitikan indonesia terutama ajang pilpres nyanyian agar semua,https://x.com/03__nakula/status/1953098588927738076,2025-08-06 14:19:25,0,0,0,0,[],[],2025-08-26 13:38:52,"Presiden Prabowo melalui Mensesneg menyatakan siap backup Kejaksaan agung tangkap Riza Chalid dan bongkar mafia migas.

Kita tunggu keberanian Kejaksaan Agung.
Riza Chalid aktif di perpolitikan Indonesia terutama pada ajang pilpres. Kita tunggu nyanyian Riza Chalid agar semua",Stress,Netral
twitter,bluesky,@0R4N6B14S4,politik balas budi tdk akan melihat masa lalu sbg koruptor pasti diberi penghargaan penguasa saat itu inilah indonesia,https://x.com/0R4N6B14S4/status/1960089803506270220,2025-08-25 21:20:00,1,0,0,134,[],[],2025-08-26 13:48:21,"Politik balas budi, tdk akan melihat masa lalu sbg koruptor pun pasti diberi penghargaan penguasa saat itu .Inilah Indonesia",Bersyukur,Negatif
twitter,𝖇𝖆𝖓𝖌 𝖕𝖎𝖙𝖍𝖚,@1254Abp,mungkin politik dinasti itu nyata gak cuma satu tokoh tapi hampir semua tak suka tersebut belum siap sdm,https://x.com/1254Abp/status/1956190257344602312,2025-08-15 03:04:36,1,0,1,67,[],[],2025-08-22 15:57:47,Mungkin politik dinasti itu nyata... gak cuma satu tokoh tapi hampir semua tokoh politik... yang tak suka karena tokoh tersebut belum siap di SDM nya...,Stress,Negatif
twitter,🄳🄴🄽 🄱🄰🄶🄾🄴🅂,@165Hati,korupsi indonesia sudah menjadi budaya padahal mereka termasuk orang berpendidikan tinggi tap tak malu untuk berbuat 44 anggota komisi xl dpr ri diduga terima dana csr bi ojk,https://x.com/165Hati/status/1957820542222012920,2025-08-19 15:02:46,0,0,0,0,[],[],2025-08-26 13:38:52,Korupsi di Indonesia sudah menjadi budaya padahal mereka termasuk orang orang yg berpendidikan tinggi tap tak malu untuk berbuat korupsi 44 anggota komisi Xl DPR RI  diduga terima dana CSR BI dan OJK..?,Stress,Netral
twitter,halo bek,@1B_bibimbap,prabowo inspektur upacara pimpin sidang kabinet pastikan mbg jadi fondasi gizi anak indonesia luar biasa #dirgahayu80nkri,https://x.com/1B_bibimbap/status/1956861388141592891,2025-08-16 23:31:26,0,0,0,0,['#Dirgahayu80NKRI'],[],2025-08-26 13:38:52,"Prabowo Inspektur Upacara pimpin sidang kabinet, pastikan MBG jadi fondasi gizi anak Indonesia. Luar biasa! #Dirgahayu80NKRI",Bersyukur,Netral
twitter,siji,@2Siji,bawaslu temukan ribuan akun buzzer jelang pemilu 2024 #satuorangsatuakun keamanan digital indonesia,https://x.com/2Siji/status/1954738706616823874,2025-08-11 02:56:39,0,0,0,0,['#SatuOrangSatuAkun'],[],2025-08-26 13:38:52,"Bawaslu temukan ribuan akun buzzer jelang pemilu 2024 #SatuOrangSatuAkun
Keamanan Digital Indonesia",Stress,Netral
twitter,Juan Chaniago,@2dibukaB,heboh dulu baru bergerak kadang suka bingung sama penegakan hukum indonesia klo oposisi garcep nyari kesalahannya tapi kalau pendukung penguasa bebas melenggang walau udh ketuk palu sebagai terpidana,https://x.com/2dibukaB/status/1952653051409453327,2025-08-05 08:49:00,0,0,0,0,[],[],2025-08-26 13:38:52,"heboh dulu baru bergerak!!!
kadang suka bingung sama penegakan hukum di Indonesia, klo oposisi garcep banget nyari kesalahannya.
tapi kalau pendukung penguasa bebas melenggang walau udh ketuk palu sebagai terpidana.",Stress,Negatif
twitter,chopper,@404flicker,prediksi era pemerintahan sekarang bisa terjadi demo besar entah kapanpun itu soalnya liat walaupun kondisi koalisi gemuk tapi respon masyarakat soal isu cukup kuat kalo pemerintah kebijakan konyol menerus perlahan semua,https://x.com/404flicker/status/1956013202527150405,2025-08-14 15:21:03,0,0,0,0,[],[],2025-08-26 13:38:52,"prediksi gw di era pemerintahan sekarang bisa terjadi demo besar""an, entah kapanpun itu. soalnya gw liat walaupun kondisi koalisi sekarang gemuk, tapi respon masyarakat soal isu"" sekarang cukup kuat juga. kalo memang pemerintah buat kebijakan konyol terus menerus, perlahan semua",Stress,Negatif
twitter,Narsil,@4nduriel,nikkei oposisi,https://x.com/4nduriel/status/1953630231165907239,2025-08-08 01:31:58,0,0,0,0,[],[],2025-08-26 13:38:52,Nikkei oposisi,Stress,Netral
